web-scraper-order,web-scraper-start-url,groupname,price,product_name
"1732993051-1","https://www.kpopagent.com/search/search_sell.do?gad_source=1&gclid=CjwKCAiA6aW6BhBqEiwA6KzDc07gIjCPOmzPPnpU62iofNnYWnFg3ZJMx4OHJDCIUbNaD9gavY4VXxoCPpQQAvD_BwE","BTS","$11.92","Single Album [Butter]"
"1732993051-2","https://www.kpopagent.com/search/search_sell.do?gad_source=1&gclid=CjwKCAiA6aW6BhBqEiwA6KzDc07gIjCPOmzPPnpU62iofNnYWnFg3ZJMx4OHJDCIUbNaD9gavY4VXxoCPpQQAvD_BwE","BLACKPINK","$13.52","2nd Album [BORN PINK] (BOX SET Ver.)"
"1732993051-3","https://www.kpopagent.com/search/search_sell.do?gad_source=1&gclid=CjwKCAiA6aW6BhBqEiwA6KzDc07gIjCPOmzPPnpU62iofNnYWnFg3ZJMx4OHJDCIUbNaD9gavY4VXxoCPpQQAvD_BwE","SEVENTEEN","$12.64","10th Mini Album [FML] (Random Ver.)"
"1732993051-4","https://www.kpopagent.com/search/search_sell.do?gad_source=1&gclid=CjwKCAiA6aW6BhBqEiwA6KzDc07gIjCPOmzPPnpU62iofNnYWnFg3ZJMx4OHJDCIUbNaD9gavY4VXxoCPpQQAvD_BwE","TOMORROW X TOGETHER","$11.92","2nd Album Repackage [THE CHAOS CHAPTER : FIGHT OR ESCAPE]"
"1732993051-5","https://www.kpopagent.com/search/search_sell.do?gad_source=1&gclid=CjwKCAiA6aW6BhBqEiwA6KzDc07gIjCPOmzPPnpU62iofNnYWnFg3ZJMx4OHJDCIUbNaD9gavY4VXxoCPpQQAvD_BwE","Jung Kook","$12.78","1st Solo Album [GOLDEN] (Random Ver.)"
"1732993051-6","https://www.kpopagent.com/search/search_sell.do?gad_source=1&gclid=CjwKCAiA6aW6BhBqEiwA6KzDc07gIjCPOmzPPnpU62iofNnYWnFg3ZJMx4OHJDCIUbNaD9gavY4VXxoCPpQQAvD_BwE","TWICE","$9.97","2nd Special Album [Summer Nights] (Random Ver.)"
"1732993051-7","https://www.kpopagent.com/search/search_sell.do?gad_source=1&gclid=CjwKCAiA6aW6BhBqEiwA6KzDc07gIjCPOmzPPnpU62iofNnYWnFg3ZJMx4OHJDCIUbNaD9gavY4VXxoCPpQQAvD_BwE","Agust D","$12.15","1st Album [D-DAY] (Standard Ver.)"
"1732993051-8","https://www.kpopagent.com/search/search_sell.do?gad_source=1&gclid=CjwKCAiA6aW6BhBqEiwA6KzDc07gIjCPOmzPPnpU62iofNnYWnFg3ZJMx4OHJDCIUbNaD9gavY4VXxoCPpQQAvD_BwE","(G)I-DLE","$12.87","6th Mini Album [I Feel] (Random Ver.)"
"1732993051-9","https://www.kpopagent.com/search/search_sell.do?gad_source=1&gclid=CjwKCAiA6aW6BhBqEiwA6KzDc07gIjCPOmzPPnpU62iofNnYWnFg3ZJMx4OHJDCIUbNaD9gavY4VXxoCPpQQAvD_BwE","NCT DREAM","$11.22","Winter Special Mini Album [Candy] (Photobook Ver.)"
"1732993051-10","https://www.kpopagent.com/search/search_sell.do?gad_source=1&gclid=CjwKCAiA6aW6BhBqEiwA6KzDc07gIjCPOmzPPnpU62iofNnYWnFg3ZJMx4OHJDCIUbNaD9gavY4VXxoCPpQQAvD_BwE","YENA","$11.65","3rd Mini Album [Good Morning] (Good Morning Ver. / Good Night Ver.) (Random Ver.)"
"1732993051-11","https://www.kpopagent.com/search/search_sell.do?gad_source=1&gclid=CjwKCAiA6aW6BhBqEiwA6KzDc07gIjCPOmzPPnpU62iofNnYWnFg3ZJMx4OHJDCIUbNaD9gavY4VXxoCPpQQAvD_BwE","YENA","","1st Single [Love War] (POCAALBUM)"
"1732993051-12","https://www.kpopagent.com/search/search_sell.do?gad_source=1&gclid=CjwKCAiA6aW6BhBqEiwA6KzDc07gIjCPOmzPPnpU62iofNnYWnFg3ZJMx4OHJDCIUbNaD9gavY4VXxoCPpQQAvD_BwE","MONSTA X","","2021 MONSTA X PHOTO BOOK PACKAGE [CHILLAX MODE]"
"1732993051-13","https://www.kpopagent.com/search/search_sell.do?gad_source=1&gclid=CjwKCAiA6aW6BhBqEiwA6KzDc07gIjCPOmzPPnpU62iofNnYWnFg3ZJMx4OHJDCIUbNaD9gavY4VXxoCPpQQAvD_BwE","NCT","$12.93","2nd Album [RESONANCE Pt.2] (Departure Ver.)"
"1732993051-14","https://www.kpopagent.com/search/search_sell.do?gad_source=1&gclid=CjwKCAiA6aW6BhBqEiwA6KzDc07gIjCPOmzPPnpU62iofNnYWnFg3ZJMx4OHJDCIUbNaD9gavY4VXxoCPpQQAvD_BwE","TWICE","$9.97","5th Mini Album [What is love?]"
"1732993051-15","https://www.kpopagent.com/search/search_sell.do?gad_source=1&gclid=CjwKCAiA6aW6BhBqEiwA6KzDc07gIjCPOmzPPnpU62iofNnYWnFg3ZJMx4OHJDCIUbNaD9gavY4VXxoCPpQQAvD_BwE","Red Velvet","$11.92","EP [The ReVe Festival Day 1]"
"1732993051-16","https://www.kpopagent.com/search/search_sell.do?gad_source=1&gclid=CjwKCAiA6aW6BhBqEiwA6KzDc07gIjCPOmzPPnpU62iofNnYWnFg3ZJMx4OHJDCIUbNaD9gavY4VXxoCPpQQAvD_BwE","DREAMCATCHER","$10.48","Special Album [Summer Holiday] (Normal Edition) (Random Ver.)"
"1732993051-17","https://www.kpopagent.com/search/search_sell.do?gad_source=1&gclid=CjwKCAiA6aW6BhBqEiwA6KzDc07gIjCPOmzPPnpU62iofNnYWnFg3ZJMx4OHJDCIUbNaD9gavY4VXxoCPpQQAvD_BwE","TWICE","$10.98","8th Mini Album [Feel Special]"
"1732993051-18","https://www.kpopagent.com/search/search_sell.do?gad_source=1&gclid=CjwKCAiA6aW6BhBqEiwA6KzDc07gIjCPOmzPPnpU62iofNnYWnFg3ZJMx4OHJDCIUbNaD9gavY4VXxoCPpQQAvD_BwE","TWICE","$9.47","4th Mini Album [SIGNAL]"
"1732993051-19","https://www.kpopagent.com/search/search_sell.do?gad_source=1&gclid=CjwKCAiA6aW6BhBqEiwA6KzDc07gIjCPOmzPPnpU62iofNnYWnFg3ZJMx4OHJDCIUbNaD9gavY4VXxoCPpQQAvD_BwE","NU’EST","$12.43","2nd Album [Romanticize]"
"1732993051-20","https://www.kpopagent.com/search/search_sell.do?gad_source=1&gclid=CjwKCAiA6aW6BhBqEiwA6KzDc07gIjCPOmzPPnpU62iofNnYWnFg3ZJMx4OHJDCIUbNaD9gavY4VXxoCPpQQAvD_BwE","TWICE","$11.92","3rd Album [Formula of Love: O+T=<3]"
